Generation,Time,All,Acceptable,Unacceptable
270th, 11 hours 19 minutes 37 seconds,0,0,0
271st, 11 hours 20 minutes 20 seconds,0,0,0
272nd, 11 hours 21 minutes 5 seconds,0,0,0
273rd, 11 hours 21 minutes 51 seconds,0,0,0
274th, 11 hours 22 minutes 34 seconds,0,0,0
275th, 11 hours 23 minutes 20 seconds,0,0,0
276th, 11 hours 24 minutes 7 seconds,0,0,0
277th, 11 hours 24 minutes 52 seconds,0,0,0
278th, 11 hours 25 minutes 38 seconds,0,0,0
279th, 11 hours 26 minutes 25 seconds,0,0,0
280th, 11 hours 27 minutes 9 seconds,0,0,0
281st, 11 hours 27 minutes 55 seconds,0,0,0
282nd, 11 hours 28 minutes 40 seconds,0,0,0
283rd, 11 hours 29 minutes 22 seconds,0,0,0
284th, 11 hours 30 minutes 8 seconds,0,0,0
285th, 11 hours 30 minutes 54 seconds,0,0,0
286th, 11 hours 31 minutes 40 seconds,0,0,0
287th, 11 hours 32 minutes 27 seconds,0,0,0
288th, 11 hours 33 minutes 11 seconds,0,0,0
289th, 11 hours 33 minutes 57 seconds,0,0,0
290th, 11 hours 34 minutes 44 seconds,0,0,0
291st, 11 hours 35 minutes 30 seconds,0,0,0
292nd, 11 hours 36 minutes 18 seconds,0,0,0
293rd, 11 hours 37 minutes 5 seconds,0,0,0
294th, 11 hours 37 minutes 52 seconds,0,0,0
295th, 11 hours 38 minutes 40 seconds,0,0,0
296th, 11 hours 39 minutes 29 seconds,0,0,0
297th, 11 hours 40 minutes 18 seconds,0,0,0
298th, 11 hours 41 minutes 5 seconds,0,0,0
299th, 11 hours 41 minutes 54 seconds,0,0,0
300th, 11 hours 42 minutes 44 seconds,0,0,0
301st, 11 hours 43 minutes 31 seconds,0,0,0
302nd, 11 hours 44 minutes 21 seconds,0,0,0
303rd, 11 hours 45 minutes 11 seconds,0,0,0
304th, 11 hours 45 minutes 59 seconds,0,0,0
305th, 11 hours 46 minutes 47 seconds,0,0,0
306th, 11 hours 47 minutes 36 seconds,0,0,0
307th, 11 hours 48 minutes 24 seconds,0,0,0
308th, 11 hours 49 minutes 15 seconds,0,0,0
309th, 11 hours 50 minutes 5 seconds,0,0,0
310th, 11 hours 50 minutes 54 seconds,0,0,0
311th, 11 hours 51 minutes 43 seconds,0,0,0
312th, 11 hours 52 minutes 33 seconds,0,0,0
313th, 11 hours 53 minutes 20 seconds,0,0,0
314th, 11 hours 54 minutes 8 seconds,0,0,0
315th, 11 hours 54 minutes 58 seconds,0,0,0
316th, 11 hours 55 minutes 9 seconds,1,0,1
